funcl,lanes,areatype,factype,speedlimit,LOS_D,LOS_E
Freeway,1,Urban,NA,0,30850,34850
Freeway,1,Suburban,NA,0,30700,34450
Freeway,1,Rural,NA,0,31100,34350
Freeway,2,Urban,NA,0,61700,69700
Freeway,2,Suburban,NA,0,61400,68900
Freeway,2,Rural,NA,0,62200,68700
Freeway,3,Urban,NA,0,93500,105200
Freeway,3,Suburban,NA,0,92900,104000
Freeway,3,Rural,NA,0,93300,103000
Freeway,4,Urban,NA,0,125800,141200
Freeway,4,Suburban,NA,0,124900,139600
Freeway,4,Rural,NA,0,124400,137400
Expressway,2,Urban,NA,0,47500,55200
Expressway,2,Suburban,NA,0,58500,62000
Expressway,2,Rural,NA,0,58800,62000
Expressway,3,Urban,NA,0,71200,82900
Expressway,3,Suburban,NA,0,87700,93000
Expressway,3,Rural,NA,0,88300,92900
Expressway,4,Urban,NA,0,95000,110500
Expressway,4,Suburban,NA,0,117000,124000
Expressway,4,Rural,NA,0,117700,123900
Boulevard,1,Urban,NA,55,19900,21600
Boulevard,1,Suburban,NA,55,20200,22300
Boulevard,1,Rural,NA,55,22600,25600
Boulevard,2,Urban,NA,55,40000,43300
Boulevard,2,Suburban,NA,55,40500,44500
Boulevard,2,Rural,NA,55,45200,51200
Boulevard,3,Urban,NA,55,59900,64900
Boulevard,3,Suburban,NA,55,60700,66800
Boulevard,3,Rural,NA,55,67900,76800
Boulevard,1,Urban,NA,45,17500,18500
Boulevard,1,Suburban,NA,45,18300,19900
Boulevard,1,Rural,NA,45,21800,24800
Boulevard,2,Urban,NA,45,35100,37000
Boulevard,2,Suburban,NA,45,36600,39800
Boulevard,2,Rural,NA,45,43600,49500
Boulevard,3,Urban,NA,45,52800,55500
Boulevard,3,Suburban,NA,45,55000,59600
Boulevard,3,Rural,NA,45,65400,74300
Boulevard,1,Urban,NA,35,14000,14600
Boulevard,1,Suburban,NA,35,15600,16900
Boulevard,2,Urban,NA,35,28100,29300
Boulevard,2,Suburban,NA,35,31600,33800
Boulevard,3,Urban,NA,35,42200,44000
Boulevard,3,Suburban,NA,35,47700,50800
Boulevard,1,Urban,NA,25,12500,14000
Boulevard,2,Urban,NA,25,25400,28100
Boulevard,3,Urban,NA,25,38400,42200
Major,1,Urban,NO,55,12900,13700
Major,1,Suburban,NO,55,14600,15800
Major,1,Rural,NO,55,15100,16700
Major,1,Urban,NO,45,12200,13000
Major,1,Suburban,NO,45,12700,13600
Major,1,Rural,NO,45,14600,16200
Major,1,Urban,NO,35,11100,11600
Major,1,Suburban,NO,35,11600,12600
Major,1,Urban,NO,25,11000,11500
Major,1,Urban,YES,55,14200,15000
Major,1,Suburban,YES,55,15900,17200
Major,1,Rural,YES,55,16500,18100
Major,1,Urban,YES,45,13300,14000
Major,1,Suburban,YES,45,13800,14700
Major,1,Rural,YES,45,16000,17700
Major,1,Urban,YES,35,12700,13300
Major,1,Suburban,YES,35,12900,13600
Major,1,Urban,YES,25,12700,13200
Major,2,Urban,NO,55,25800,27500
Major,2,Suburban,NO,55,29100,31600
Major,2,Rural,NO,55,30200,33400
Major,3,Urban,NO,55,38700,41200
Major,3,Suburban,NO,55,43650,47400
Major,3,Rural,NO,55,45300,50100
Major,2,Urban,NO,45,26700,28200
Major,2,Suburban,NO,45,27600,29500
Major,2,Rural,NO,45,29300,32500
Major,3,Urban,NO,45,40050,42200
Major,3,Suburban,NO,45,41400,44400
Major,3,Rural,NO,45,43950,48800
Major,2,Urban,NO,35,22200,23200
Major,2,Suburban,NO,35,23500,25200
Major,3,Urban,NO,35,33300,34800
Major,3,Suburban,NO,35,35250,37800
Major,2,Urban,NO,25,22100,23100
Major,3,Urban,NO,25,33150,34700
Major,2,Urban,YES,55,28400,30000
Major,2,Suburban,YES,55,31800,34400
Major,2,Rural,YES,55,33000,36300
Major,3,Urban,YES,55,42600,45000
Major,3,Suburban,YES,55,47700,51600
Major,3,Rural,YES,55,49500,54400
Major,2,Urban,YES,45,26800,28100
Major,2,Suburban,YES,45,27600,29400
Major,2,Rural,YES,45,32000,35400
Major,3,Urban,YES,45,40200,42100
Major,3,Suburban,YES,45,41400,44100
Major,3,Rural,YES,45,48000,53100
Major,2,Urban,YES,35,24300,25400
Major,2,Suburban,YES,35,26000,27200
Major,3,Urban,YES,35,36450,38100
Major,3,Suburban,YES,35,39000,40900
Major,2,Urban,YES,25,24200,25300
Major,3,Urban,YES,25,36300,38000
Minor,1,Urban,NO,55,12900,13700
Minor,1,Suburban,NO,55,14600,15800
Minor,1,Rural,NO,55,15100,16700
Minor,1,Urban,NO,45,11700,12700
Minor,1,Suburban,NO,45,12200,12900
Minor,1,Rural,NO,45,14600,16200
Minor,1,Urban,NO,35,10200,12100
Minor,1,Suburban,NO,35,10200,12300
Minor,1,Urban,NO,25,10000,11500
Minor,1,Urban,YES,55,14200,15100
Minor,1,Suburban,YES,55,15900,17200
Minor,1,Rural,YES,55,16500,18100
Minor,1,Urban,YES,45,13100,13700
Minor,1,Suburban,YES,45,13200,13800
Minor,1,Rural,YES,45,16000,17700
Minor,1,Urban,YES,35,11700,13900
Minor,1,Suburban,YES,35,12700,13300
Minor,1,Urban,YES,25,11300,11800
