SEGMENT	MODE	HBU_PEAK
1	AUTO	0.000000
1	TRANSIT	-0.181206
1	WALKBIKE	0.971593
1	SOV	0.000000
1	HOV	-1.864672
1	POOL2	0.000000
1	POOL3	-1.238763
1	WALKTRAN	0.000000
1	DRIVETRAN	0.298901
1	DROPTRAN	-2.433463
1	WALKPREM	0.000000
1	WALKBUS	1.940559
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.309453
1	DROPPREM	0.000000
1	DROPBUS	-1.241681
1	WALK	0.000000
1	BIKE	-5.914372
2	AUTO	0.000000
2	TRANSIT	-1.907618
2	WALKBIKE	-0.436713
2	SOV	0.000000
2	HOV	-2.205406
2	POOL2	0.000000
2	POOL3	-1.609002
2	WALKTRAN	0.000000
2	DRIVETRAN	0.211197
2	DROPTRAN	-1.810862
2	WALKPREM	0.000000
2	WALKBUS	2.517784
2	DRIVEPREM	0.000000
2	DRIVEBUS	-4.497768
2	DROPPREM	0.000000
2	DROPBUS	-1.757097
2	WALK	0.000000
2	BIKE	-5.180999
1	AUTO	0.000000
1	TRANSIT	-0.166608
1	WALKBIKE	0.967327
1	SOV	0.000000
1	HOV	-1.864412
1	POOL2	0.000000
1	POOL3	-1.238562
1	WALKTRAN	0.000000
1	DRIVETRAN	0.293675
1	DROPTRAN	-2.431989
1	WALKPREM	0.000000
1	WALKBUS	1.796203
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.539416
1	DROPPREM	0.000000
1	DROPBUS	-1.418693
1	WALK	0.000000
1	BIKE	-5.911629
2	AUTO	0.000000
2	TRANSIT	-1.894136
2	WALKBIKE	-0.445584
2	SOV	0.000000
2	HOV	-2.205283
2	POOL2	0.000000
2	POOL3	-1.608643
2	WALKTRAN	0.000000
2	DRIVETRAN	0.234820
2	DROPTRAN	-1.827756
2	WALKPREM	0.000000
2	WALKBUS	2.364914
2	DRIVEPREM	0.000000
2	DRIVEBUS	-4.730832
2	DROPPREM	0.000000
2	DROPBUS	-1.795703
2	WALK	0.000000
2	BIKE	-5.177498
