SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.004042	0.307491	-1.497005	-3.030382
1	WALKBIKE	0.659621	0.289995	0.192036	-1.810137
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.895007	-1.966756	-1.968836	-2.783298
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.541599	-2.181010	-1.803286	-1.465244
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.469754	-2.120437	-0.428757	1.755465
1	DROPTRAN	-4.317776	-3.434986	-2.215228	-3.846392
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.900132	1.408931	1.053524	0.657616
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-1.491273	0.995286	-0.254643	-0.128701
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	0.945897	-0.871379	-2.794586	4.620710
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.463065	-3.540796	-4.791469	-3.777506
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	6.000000	1.109336	0.836778	-0.553289
2	WALKBIKE	3.594447	0.212955	-0.191215	0.386852
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-3.096493	-2.333729	-2.167954	-2.957125
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.714339	-2.527269	-1.969285	-1.608704
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.529677	-0.921266	0.680037	1.729594
2	DROPTRAN	-6.000000	-3.104821	-5.829810	-3.786375
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-2.874506	-3.868983	-1.774276
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-3.348077	-4.271768
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	0.667521	-2.743295	2.520118	2.104350
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.800613	-3.557462	-4.342477	-6.000000
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.076736	0.376149	-1.437054	-2.984815
1	WALKBIKE	0.654943	0.286314	0.191219	-1.810393
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.894697	-1.966638	-1.968827	-2.783295
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.541306	-2.180913	-1.803270	-1.465237
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.537252	-2.138161	-0.452567	1.758593
1	DROPTRAN	-4.321991	-3.454824	-2.254188	-3.848914
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.538693	1.089867	0.756975	0.357606
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-1.698840	0.648380	-0.571134	-0.461121
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	0.620774	-1.196710	-3.065864	4.431575
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-2.460846	-3.538835	-4.790869	-3.777364
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	6.000000	1.287070	1.062013	-0.456346
2	WALKBIKE	3.590160	0.230731	-0.165016	0.397461
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-3.101476	-2.333940	-2.168590	-2.957437
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.714758	-2.527373	-1.969650	-1.608955
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-1.495009	-1.068204	0.726984	1.818258
2	DROPTRAN	-6.000000	-3.206952	-6.000000	-3.822572
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-6.000000	-3.730374	-4.918552	-2.367423
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-6.000000	-6.000000	-4.570454	-5.103586
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	0.285666	-3.341006	2.213480	1.742097
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-2.806212	-3.579742	-4.358942	-6.000000
