SEGMENT	MODE	NHB_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-3.074242
1	WALKBIKE	-0.959278
1	SOV	0.000000
1	HOV	-0.280350
1	POOL2	0.000000
1	POOL3	-0.810925
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.730065
1	DROPTRAN	-3.801679
1	WALKPREM	0.000000
1	WALKBUS	-0.740564
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-3.351417
1	WALK	0.000000
1	BIKE	-4.052271
2	AUTO	0.000000
2	TRANSIT	-2.894114
2	WALKBIKE	1.632474
2	SOV	0.000000
2	HOV	-1.128644
2	POOL2	0.000000
2	POOL3	-1.568934
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.130375
2	DROPTRAN	-5.507004
2	WALKPREM	0.000000
2	WALKBUS	0.717542
2	DRIVEPREM	0.000000
2	DRIVEBUS	-1.964774
2	DROPPREM	0.000000
2	DROPBUS	-0.026623
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.050226
1	WALKBIKE	-0.959285
1	SOV	0.000000
1	HOV	-0.280349
1	POOL2	0.000000
1	POOL3	-0.810924
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.760419
1	DROPTRAN	-3.818933
1	WALKPREM	0.000000
1	WALKBUS	-0.856862
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-3.435035
1	WALK	0.000000
1	BIKE	-4.052262
2	AUTO	0.000000
2	TRANSIT	-2.882049
2	WALKBIKE	1.632414
2	SOV	0.000000
2	HOV	-1.128644
2	POOL2	0.000000
2	POOL3	-1.568923
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.143945
2	DROPTRAN	-5.517412
2	WALKPREM	0.000000
2	WALKBUS	0.657982
2	DRIVEPREM	0.000000
2	DRIVEBUS	-2.009533
2	DROPPREM	0.000000
2	DROPBUS	-0.061042
2	WALK	0.000000
2	BIKE	-6.000000
