Alternative,Expression,Filter,Coefficient,Description
sov,Constant,,3.47,SOV ASC
sov,AutoSkim.[Non HOV TermTT],,-0.0304,Auto Skim with terminal time
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 1,-0.004537,Parking Cost: Income 1
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 2,-0.002277,Parking Cost: Income 2
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 3,-0.001229,Parking Cost: Income 3
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 4,-0.000967,Parking Cost: Income 4
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 1,-0.04537,Auto Operating Cost: Income 1
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 2,-0.02277,Auto Operating Cost: Income 2
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 3,-0.01229,Auto Operating Cost: Income 3
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 4,-0.00967,Auto Operating Cost: Income 4
pool2,Constant,,3.3,Pool2 ASC
pool2,AutoSkim.[HOV TermTT],,-0.0304,Auto Skim with terminal time
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 1,-0.004537,Parking Cost: Income 1
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 2,-0.002277,Parking Cost: Income 2
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 3,-0.001229,Parking Cost: Income 3
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 4,-0.000967,Parking Cost: Income 4
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 1,-0.04537,Auto Operating Cost: Income 1
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 2,-0.02277,Auto Operating Cost: Income 2
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 3,-0.01229,Auto Operating Cost: Income 3
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 4,-0.00967,Auto Operating Cost: Income 4
pool3,Constant,,3.09,Pool3 ASC
pool3,AutoSkim.[HOV TermTT],,-0.0304,Auto Skim with terminal time
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 1,-0.003134,Parking Cost: Income 1
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 2,-0.001573,Parking Cost: Income 2
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 3,-0.000849,Parking Cost: Income 3
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 4,-0.000668,Parking Cost: Income 4
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 1,-0.04537,Auto Operating Cost: Income 1
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 2,-0.02277,Auto Operating Cost: Income 2
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 3,-0.01229,Auto Operating Cost: Income 3
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 4,-0.00967,Auto Operating Cost: Income 4
tnc,AutoSkim.[HOV TermTT],,-0.0304,Auto Time (TNC)
walk,Constant,,2.91,Walk ASC
walk,NMSkim.[TTWalk*],,-0.0304,Walk Time
walk,Tours.ORIG_TAZ = Tours.DEST_TAZ,,1.65,Intrazonal Trip : Walk
bike,Constant,,0.542,Bike ASC
bike,NMSkim.[TTBike*],,-0.0304,Bike Time
bike,Tours.ORIG_TAZ = Tours.DEST_TAZ,,1.24,Intrazonal Trip : Bike
w_bus,Constant,,2.84,Walk Bus ASC
w_bus,WalkTransitSkim.[IVTT - Bus Walk],,-0.0304,IVTT - Walk Bus
w_bus,WalkTransitSkim.[Access Walk Time - Bus Walk],,-0.076,Access Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Transfer Walk Time - Bus Walk],,-0.076,Transfer Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Egress Walk Time - Bus Walk],,-0.076,Egress Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Initial Wait - Bus Walk],,-0.0456,Initial Wait - Walk Bus
w_bus,WalkTransitSkim.[Transfer Wait Time - Bus Walk],,-0.0608,Transfer Wait - Walk Bus
w_bus,WalkTransitSkim.[Transfer Penalty Time - Bus Walk],,-0.0304,Transfer Penalty - Walk Bus
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 1,-0.004537,Fare - Walk Bus: Income 1
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 2,-0.002277,Fare - Walk Bus: Income 2
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 3,-0.001229,Fare - Walk Bus: Income 3
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 4,-0.000967,Fare - Walk Bus: Income 4
w_bus,Tours.INCOME <= 2,,2.65,Low Income Dummy - Walk Bus
w_prem,Constant,,2.85,Walk Premium ASC
w_prem,WalkTransitSkim.[IVTT - Prem Walk] - 0.3*WalkTransitSkim.[Prem IVTT],,-0.0304,Discounted IVTT - Walk Premium
w_prem,WalkTransitSkim.[Access Walk Time - Prem Walk],,-0.076,Access Walk Time - Walk Premium
w_prem,WalkTransitSkim.[Transfer Walk Time - Prem Walk],,-0.076,Transfer Walk Time - Walk Premium
w_prem,WalkTransitSkim.[Egress Walk Time - Prem Walk],,-0.076,Egress Walk Time - Walk Premium
w_prem,WalkTransitSkim.[Initial Wait - Prem Walk],,-0.0456,Initial Wait - Walk Premium
w_prem,WalkTransitSkim.[Transfer Wait Time - Prem Walk],,-0.0608,Transfer Wait - Walk Premium
