Alternative,Expression,Filter,Coefficient,Description
sov,Constant,,1.47,SOV ASC
sov,AutoSkim.[Non HOV TermTT],,-0.03,Auto Skim with terminal time
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 1,-0.004478,Parking Cost: Income 1
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 2,-0.002247,Parking Cost: Income 2
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 3,-0.001213,Parking Cost: Income 3
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 4,-0.000954,Parking Cost: Income 4
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 1,-0.04478,Auto Operating Cost: Income 1
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 2,-0.02247,Auto Operating Cost: Income 2
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 3,-0.01212,Auto Operating Cost: Income 3
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 4,-0.00954,Auto Operating Cost: Income 4
pool2,Constant,,1.09,Pool2 ASC
pool2,AutoSkim.[HOV TermTT],,-0.03,Auto Skim with terminal time
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 1,-0.004478,Parking Cost: Income 1
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 2,-0.002247,Parking Cost: Income 2
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 3,-0.001213,Parking Cost: Income 3
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 4,-0.000954,Parking Cost: Income 4
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 1,-0.04478,Auto Operating Cost: Income 1
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 2,-0.02247,Auto Operating Cost: Income 2
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 3,-0.01212,Auto Operating Cost: Income 3
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 4,-0.00954,Auto Operating Cost: Income 4
pool3,Constant,,0.511,Pool3 ASC
