Alternative,Expression,Filter,Coefficient,Description
sov,Constant,,1.79,SOV ASC
sov,AutoSkim.[Non HOV TermTT],,-0.021,Auto Skim with terminal time
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 1,-0.003134,Parking Cost: Income 1
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 2,-0.001573,Parking Cost: Income 2
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 3,-0.000849,Parking Cost: Income 3
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 4,-0.000668,Parking Cost: Income 4
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 1,-0.03134,Auto Operating Cost: Income 1
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 2,-0.01573,Auto Operating Cost: Income 2
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 3,-0.00849,Auto Operating Cost: Income 3
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 4,-0.00668,Auto Operating Cost: Income 4
pool2,Constant,,0.564,Pool2 ASC
pool2,AutoSkim.[HOV TermTT],,-0.021,Auto Skim with terminal time
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 1,-0.003134,Parking Cost: Income 1
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 2,-0.001573,Parking Cost: Income 2
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 3,-0.000849,Parking Cost: Income 3
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 4,-0.000668,Parking Cost: Income 4
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 1,-0.03134,Auto Operating Cost: Income 1
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 2,-0.01573,Auto Operating Cost: Income 2
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 3,-0.00849,Auto Operating Cost: Income 3
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 4,-0.00668,Auto Operating Cost: Income 4
pool3,Constant,,0.145,Pool3 ASC
pool3,AutoSkim.[HOV TermTT],,-0.021,Auto Skim with terminal time
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 1,-0.003134,Parking Cost: Income 1
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 2,-0.001573,Parking Cost: Income 2
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 3,-0.000849,Parking Cost: Income 3
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 4,-0.000668,Parking Cost: Income 4
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 1,-0.03134,Auto Operating Cost: Income 1
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 2,-0.01573,Auto Operating Cost: Income 2
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 3,-0.00849,Auto Operating Cost: Income 3
pool3,nz(AutoSkim.[HOV Length])/<occ3>,Tours.INCOME = 4,-0.00668,Auto Operating Cost: Income 4
tnc,AutoSkim.[HOV TermTT],,-0.091,Auto Time (TNC)
walk,Constant,,-0.219,Walk ASC
walk,NMSkim.[TTWalk*],,-0.021,Walk Time
walk,Tours.ORIG_TAZ = Tours.DEST_TAZ,,1.548,Intrazonal Trip
walk,Tours.INCOME <= 2,,0.537,Low Income Dummy
bike,Constant,,-1.4545,Bike ASC
bike,NMSkim.[TTBike*],,-0.021,Bike Time
bike,Tours.INCOME <= 2,,0.537,Low Income Dummy
w_bus,Constant,,1.4506,Walk Bus ASC
w_bus,WalkTransitSkim.[IVTT - Bus Walk],,-0.021,IVTT - Walk Bus
w_bus,WalkTransitSkim.[Access Walk Time - Bus Walk],,-0.0525,Access Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Transfer Walk Time - Bus Walk],,-0.0525,Transfer Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Egress Walk Time - Bus Walk],,-0.0525,Egress Walk Time - Walk Bus
w_bus,WalkTransitSkim.[Initial Wait - Bus Walk],,-0.0315,Initial Wait - Walk Bus
w_bus,WalkTransitSkim.[Transfer Wait Time - Bus Walk],,-0.042,Transfer Wait - Walk Bus
w_bus,WalkTransitSkim.[Transfer Penalty Time - Bus Walk],,-0.021,Transfer Penalty - Walk Bus
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 1,-0.003134,Fare - Walk Bus: Income 1
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 2,-0.001573,Fare - Walk Bus: Income 2
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 3,-0.000849,Fare - Walk Bus: Income 3
w_bus,WalkTransitSkim.[Cost - Bus Walk],Tours.INCOME = 4,-0.000668,Fare - Walk Bus: Income 4
w_bus,Tours.INCOME <= 2,,1.03,Low Income Dummy - Walk Bus
