TAZ,ret30_dest
1,0
2,0
3,4736
4,12000
5,5133
6,5600
7,1500
8,1792
9,5632
10,1062
11,2976
12,6305
13,10200
14,5248
15,10720
16,2520
17,744
18,34048
19,17577
20,1664
21,2898
22,2992
23,8432
24,0
25,5934
26,3128
27,4030
28,9638
29,5565
30,0
31,0
32,177
33,171
34,0
35,406
36,0
37,0
38,0
39,306
40,0
41,12932
42,0
43,8976
44,0
45,17554
46,10368
47,11256
48,5980
49,22646
50,10624
51,52416
52,5696
53,10332
54,780
55,3654
56,9295
57,9638
58,1863
59,603
60,0
61,2583
62,236
63,371
64,0
65,780
66,0
67,8442
68,0
69,7560
70,0
71,37440
72,4650
73,82112
74,180
75,345
76,1755
77,0
78,248
79,0
80,0
81,0
82,0
83,106
84,1140
85,208
86,0
87,0
88,0
89,960
90,14060
91,0
92,1180
93,9060
94,39616
95,804
96,1449
97,1178
98,3740
99,567
100,364
101,848
102,2565
103,0
104,9006
105,19530
106,0
107,0
108,47
109,0
110,0
111,0
112,0
113,696
114,0
115,399
116,156
117,0
118,0
119,351
120,0
122,132
123,0
124,0
125,0
126,1144
127,2684
128,0
129,76
130,1482
131,0
132,0
133,41
134,0
135,0
136,23
137,0
138,0
139,0
140,0
141,180
142,0
143,0
144,0
145,0
146,0
147,108
148,0
149,0
150,1872
151,1728
152,1612
153,16709
154,108
155,150
156,252
157,4050
158,3103
159,1350
160,1872
161,6018
162,125426
163,0
164,0
165,63080
166,5010
167,11760
169,2508
170,3840
171,132
172,1595
173,528
174,1408
175,3432
176,4200
177,0
178,5520
179,196
180,5180
181,4524
182,5508
183,29158
184,676
185,9240
186,0
187,740
188,1720
189,5617
190,1400
191,0
192,0
193,352
194,0
195,1273
196,2772
197,17342
198,1350
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,5060
209,931
210,177
211,0
212,969
213,0
214,0
215,0
216,0
217,0
219,0
220,0
221,195
222,1472
223,0
224,0
225,0
226,9804
227,0
228,2728
229,0
230,216
231,6888
232,2142
233,0
234,0
235,0
236,36
237,64
238,0
239,615
240,0
241,0
242,105
243,115
244,320
245,0
246,0
247,0
248,189
249,120
250,312
251,3087
252,4200
253,390
254,330
255,0
256,0
