TAZ,ret30_orig
1,4906
2,5975
3,6983
4,7137
5,8536
6,7573
7,7352
8,6827
9,4586
10,3919
11,3783
12,4115
13,4493
14,5136
15,6693
16,7343
17,7571
18,8033
19,8435
20,6746
21,6945
22,6544
23,3552
24,4366
25,4263
26,6218
27,7175
28,7389
29,6936
30,6085
31,4509
32,6215
33,3471
34,2555
35,2277
36,2305
37,2097
38,2255
39,1228
40,2141
41,2466
42,2381
43,4564
44,4407
45,6114
46,7178
47,7212
48,7363
49,7491
50,7798
51,7624
52,8021
53,7925
54,7945
55,7781
56,6144
57,6445
58,4877
59,4196
60,4203
61,3452
62,3026
63,1749
64,2774
65,4464
66,5273
67,6280
68,5324
69,6090
70,7029
71,7585
72,7359
73,6982
74,6518
75,6816
76,5127
77,5634
78,5092
79,4786
80,4610
81,5086
82,3271
83,3501
84,4083
85,1792
86,1493
87,2528
88,542
89,5262
90,3507
91,6810
92,7300
93,7206
94,5814
95,5428
96,3508
97,3013
98,1488
99,3301
100,1637
101,1998
102,4707
103,6834
104,6731
105,6823
106,5470
107,5019
108,3734
109,2699
110,5846
111,3539
112,1683
113,796
114,1082
115,130
116,703
117,5590
118,4058
119,1942
120,4416
122,2608
123,4442
124,51
125,602
126,2441
127,2021
128,95
129,146
130,113
131,141
132,370
133,519
134,740
135,126
136,114
137,123
138,99
139,250
140,281
141,587
142,1236
143,845
144,1635
145,145
146,326
147,1331
148,1471
149,3522
150,2262
151,2366
152,2156
153,2255
154,2025
155,809
156,1285
157,1785
158,7307
159,7438
160,2496
161,7605
162,7838
163,7269
164,8159
165,7561
166,7504
167,7325
169,7600
170,3676
171,8607
172,2889
173,8676
174,3436
175,3119
176,6277
177,6581
178,4460
179,5832
180,4362
181,4703
182,4432
183,4400
184,3446
185,3423
186,3494
187,4198
188,8409
189,4524
190,4507
191,2769
192,3148
193,3236
194,2933
195,3836
196,3380
197,2836
198,2626
199,2749
200,2069
201,2068
202,2374
203,905
204,1590
205,852
206,799
207,835
208,1807
209,1778
210,2690
211,1693
212,1355
213,924
214,477
215,105
216,1335
217,1471
219,1961
220,2880
221,3342
222,3242
223,2698
224,2343
225,1184
226,1688
227,690
228,1074
229,1084
230,1394
231,886
232,855
233,296
234,191
235,63
236,218
237,259
238,54
239,912
240,631
241,603
242,279
243,294
244,89
245,65
246,166
247,353
248,191
249,354
250,348
251,661
252,1148
253,5171
254,5552
255,8191
256,4503
257,2172
258,2512
259,1715
260,1282
261,1194
262,2561
263,1633
264,538
265,99
266,306
267,357
268,386
269,386
270,355
271,664
272,7
273,37
274,592
275,676
276,587
277,385
278,100
279,191
280,345
281,212
282,196
283,29
284,17
285,261
286,21
287,455
288,1945
289,1904
290,1430
291,1191
292,1767
293,316
294,433
295,569
296,328
297,282
298,108
299,316
300,299
301,216
302,31
303,5
304,34
305,6
306,105
307,29
1001,2178
1002,2113
1003,1589
1004,1791
1005,1811
1006,2050
1007,3671
1008,1672
1009,2217
1010,1448
1011,1726
1012,1273
1013,1192
1014,1190
1015,1509
1016,1620
1017,1856
1018,1892
1019,3753
1020,3941
1021,3124
1022,604
1023,1229
1024,2025
1025,1254
1026,1149
1027,1188
1028,1225
1029,1155
1030,1003
1031,1014
1032,1018
1033,1002
1034,1354
1035,1126
1036,984
1037,1076
1038,740
1039,938
1040,95
1041,964
1042,136
1043,159
1044,766
1045,673
1046,215
1047,200
1048,127
1049,253
1050,491
1051,725
1052,956
1053,816
1054,737
1055,240
1056,556
1057,711
1058,561
1059,307
1060,825
1061,240
1062,275
1063,608
1064,589
1065,589
1066,907
1067,843
1068,912
1069,820
1070,843
1071,1007
1072,843
1073,840
1074,867
1075,913
1076,1009
1077,829
1078,587
1079,677
1080,754
1081,207
1082,430
1083,83
1084,426
1085,183
1086,194
1087,180
1088,180
1089,694
1090,676
1091,189
1092,266
1093,247
1094,363
1095,382
1096,134
1097,240
1098,262
1099,200
1100,176
1101,182
1102,30
1103,147
1104,1
1105,39
1106,92
1107,110
1108,0
1109,91
1110,116
1111,113
1112,25
1113,6
1114,0
1115,8
1116,80
1117,1002
1118,55
1119,21
1120,23
1121,2730
1122,8
1123,1874
1124,149
1125,415
1126,489
1127,644
1128,411
1129,463
1130,574
1131,4123
1132,7807
1133,5533
1134,3397
1135,7525
1136,7702
1137,8677
1138,8798
1139,7807
1140,7773
1141,7807
1142,7938
1143,7938
1144,7945
1145,7836
1146,7964
1147,7957
1148,8877
1149,8717
1150,7297
1151,7892
1152,7836
1153,5817
1154,3122
1155,1715
1156,647
1157,1795
1158,69
1159,306
1160,276
