"TAZ","POP","HH","POP_HHS","POP_GRP","MED_INC","LOIND","HIIND","RTL","HWY","LOSVC","HISVC","OFFGOV","EDUC","STU_K8","STU_HS","STU_CU","TOTEMP","DORM","STCNTY","AREA","SEQ","AREA_LU","DISTRICT"
1,60,24,60,0,40658,35,28,0,0,0,0,0,0,0,0,0,63,0,37025,0.065271,1,0.065271,"370251"
2,0,0,0,0,19744,5,0,0,0,0,0,0,0,0,0,0,5,0,37025,0.073008,2,0.073008,"370251"
3,197,62,197,0,19744,388,10,41,33,30,5,54,0,0,0,0,561,0,37025,0.363813,3,0.363813,"370251"
4,756,272,756,0,29750,85,231,51,149,61,92,129,0,0,0,0,798,0,37025,0.444872,4,0.444872,"370251"
5,1925,861,1925,0,38750,40,100,56,31,67,52,102,1,0,0,0,449,0,37025,0.823504,5,0.823504,"370251"
6,435,104,279,156,50125,23,26,16,84,209,13,25,168,761,0,0,564,0,37025,0.668233,6,0.668233,"370253"
7,2383,879,2358,25,50125,30,28,11,14,27,49,37,0,0,0,0,196,0,37025,1.00661,7,1.00661,"370253"
8,579,262,576,3,60585,0,0,3,25,0,31,2,0,0,0,0,61,0,37025,0.302003,8,0.302003,"370253"
9,2358,893,2358,0,24655,21,25,36,52,41,10,105,0,0,0,0,290,0,37025,0.785809,9,0.785809,"370253"
10,1145,431,1145,0,20781,15,0,18,0,21,8,39,0,0,0,0,101,0,37025,0.35222,10,0.35222,"370253"
11,26,10,26,0,20781,89,7,16,32,20,15,358,61,0,0,523,598,0,37025,0.268133,11,0.268133,"370253"
12,906,401,906,0,43194,1,8,36,61,20,66,26,222,0,1593,303,440,0,37025,0.489412,12,0.489412,"370253"
13,1608,660,1608,0,31150,9,29,62,88,38,72,64,80,542,0,0,442,0,37025,0.584963,13,0.584963,"370253"
14,1397,545,1397,0,38192,9,17,29,53,22,5,68,0,0,0,0,203,0,37025,0.383898,14,0.383898,"370253"
15,663,286,663,0,57857,37,7,61,99,34,102,82,0,0,0,0,422,0,37025,0.393791,15,0.393791,"370253"
16,1308,573,1308,0,57857,15,80,14,26,17,101,32,0,0,0,0,285,0,37025,0.621994,16,0.621994,"370253"
17,3,2,3,0,57857,43,0,12,0,3,32,4,0,0,0,0,94,0,37025,0.164706,17,0.164706,"370253"
18,40,14,40,0,36106,29,0,90,442,63,127,132,0,0,0,0,883,0,37025,0.166497,18,0.166497,"370251"
19,103,40,103,0,61546,45,5,43,236,34,110,242,0,0,0,0,715,0,37025,0.145583,19,0.145583,"370251"
20,1248,469,1236,12,24808,122,66,16,10,8,36,19,0,0,0,0,277,0,37025,0.283554,20,0.283554,"370251"
21,1387,509,1387,0,28496,101,14,40,2,57,47,72,204,502,0,0,537,0,37025,0.335716,21,0.335716,"370251"
22,887,277,887,0,30847,229,7,3,41,50,1,16,0,0,0,0,347,0,37025,0.174486,22,0.174486,"370251"
23,184,36,184,0,49297,17,4,13,123,7,4,14,0,0,0,0,182,0,37025,0.154222,23,0.154222,"370251"
24,92,32,92,0,40658,14,17,0,0,40,6,17,0,0,0,0,94,0,37025,0.265998,24,0.265998,"370251"
25,1429,514,1429,0,37833,0,14,3,83,20,46,29,0,0,0,0,195,0,37025,0.712534,25,0.712534,"370251"
26,1085,380,1085,0,19744,77,37,10,36,22,122,101,119,661,5,0,524,0,37025,0.559342,26,0.559342,"370251"
27,171,60,171,0,29750,30,37,65,0,25,0,46,93,0,0,905,296,0,37025,0.085481,27,0.085481,"370251"
28,1018,369,1018,0,29089,62,25,108,50,70,66,83,0,0,0,0,464,0,37025,0.607252,28,0.607252,"370251"
29,2153,910,2150,3,80040,0,0,0,105,26,6,41,66,211,0,0,244,0,37025,0.630173,29,0.630173,"370251"
30,323,116,323,0,42794,0,1,0,0,0,0,4,0,0,0,0,5,0,37025,0.18538,30,0.18538,"370253"
31,920,285,920,0,42794,0,2,0,0,0,1,12,0,0,0,0,15,0,37025,0.584925,31,0.584925,"370253"
32,1091,376,1091,0,60585,0,5,3,0,0,0,15,130,1316,0,0,153,0,37025,0.533512,32,0.533512,"370253"
33,928,362,928,0,42794,0,40,0,3,4,0,3,48,329,0,0,98,0,37025,0.405856,33,0.405856,"370253"
34,706,290,706,0,30513,4,164,0,0,3,11,2,11,0,0,0,195,0,37025,0.730888,34,0.730888,"370253"
35,182,70,182,0,30513,0,0,7,0,6,0,26,0,0,0,0,39,0,37025,0.172844,35,0.172844,"370253"
36,233,74,233,0,30513,0,0,0,0,0,0,1,0,0,0,0,1,0,37025,0.081592,36,0.081592,"370253"
37,250,106,220,30,34191,0,0,0,0,32,0,0,0,0,0,0,32,0,37025,0.105271,37,0.105271,"370253"
38,185,71,185,0,30513,1,5,0,0,1,0,0,46,404,0,0,53,0,37025,0.252,38,0.252,"370253"
39,961,384,961,0,32443,66,16,0,6,2,0,3,0,0,0,0,93,0,37025,0.837203,39,0.837203,"370253"
40,859,324,859,0,34191,0,5,0,0,10,0,40,7,0,0,45,62,0,37025,0.23787,40,0.23787,"370253"
41,1438,572,1431,7,20781,3,8,45,167,70,14,290,0,0,0,0,597,0,37025,0.308267,41,0.308267,"370253"
42,119,52,119,0,34191,0,2,0,0,91,113,29,0,0,0,0,235,0,37025,0.090408,42,0.090408,"370253"
43,1420,577,1415,5,60759,3,43,102,34,52,50,88,56,58,0,0,428,0,37025,0.622252,43,0.622252,"370253"
44,762,273,762,0,22550,0,1,0,0,20,6,7,0,0,0,0,34,0,37025,0.264596,44,0.264596,"370253"
45,905,387,905,0,22550,28,3,64,198,56,253,411,65,519,0,0,1078,0,37025,0.487102,45,0.487102,"370253"
46,268,119,268,0,57857,49,4,11,133,15,25,26,46,317,0,0,309,0,37025,0.148535,46,0.148535,"370253"
47,1229,407,1120,109,23954,5,20,67,101,244,59,90,0,0,0,0,586,0,37025,0.419031,47,0.419031,"370253"
48,119,51,119,0,57857,0,2,75,17,9,23,46,0,0,0,0,172,0,37025,0.141328,48,0.141328,"370253"
