SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-1.293109	-1.683820	-3.073478	-4.232305
1	WALKBIKE	0.234946	-0.226546	-0.673259	-0.774562
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.283823	0.052432	-0.041907	-0.199823
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.169873	-0.733709	-0.983299	-0.783223
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.270398	-2.518340	-1.797179	0.157465
1	DROPTRAN	-3.799340	-3.994009	-4.771599	-2.986211
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.837241	-0.091255	-1.195913	-3.019635
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	0.030609	-5.481160	-0.654930	-6.000000
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.305888	-4.528525	-5.414316	-6.000000
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-4.710348	-5.521528	-5.063698	-3.418258
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	-0.030728	-0.445946	-3.102052	-2.823588
2	WALKBIKE	1.841875	-1.000286	-1.623411	0.234437
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-0.692305	-0.137605	-0.142208	-0.280628
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.543995	-0.902317	-1.070610	-0.853613
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-3.521512	-2.637623	1.820598	1.474205
2	DROPTRAN	-6.000000	-4.064015	-3.669598	-4.876778
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	0.297618	-1.540265	-1.353203	-6.000000
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	3.021677	-1.448806	-5.928282	-4.103266
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.918514	-5.144970	-1.182487	-1.454406
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-6.000000	-4.944970	-4.326432	-4.726258
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	-1.225319	-1.610446	-2.999985	-4.167198
1	WALKBIKE	0.234693	-0.226633	-0.673268	-0.774570
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-0.283801	0.052438	-0.041907	-0.199823
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.169857	-0.733703	-0.983298	-0.783223
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-2.303328	-2.608007	-1.839987	0.072305
1	DROPTRAN	-3.826812	-4.046170	-4.847917	-3.083338
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.564026	-0.412019	-1.557266	-3.403304
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-0.240602	-5.622666	-0.934502	-6.000000
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-2.588063	-4.841726	-5.627225	-6.000000
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-4.710122	-5.521411	-5.063676	-3.418252
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	0.029450	-0.384682	-3.078695	-2.829992
2	WALKBIKE	1.832083	-0.995680	-1.623435	0.234688
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-0.691867	-0.137693	-0.142252	-0.280634
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-1.543843	-0.902391	-1.070595	-0.853597
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-3.557813	-2.726108	1.789251	1.487570
2	DROPTRAN	-6.000000	-4.157085	-3.709174	-4.865870
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	0.004076	-1.888599	-1.586261	-6.000000
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	2.757045	-1.577429	-6.000000	-4.202185
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-0.960857	-5.259438	-1.224637	-1.473284
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-6.000000	-4.947995	-4.326501	-4.726335
