SEGMENT	MODE	HBU_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-0.021481
1	WALKBIKE	2.701454
1	SOV	0.000000
1	HOV	-1.850250
1	POOL2	0.000000
1	POOL3	-1.943937
1	WALKTRAN	0.000000
1	DRIVETRAN	1.011247
1	DROPTRAN	-2.942245
1	WALKPREM	0.000000
1	WALKBUS	2.501335
1	DRIVEPREM	0.000000
1	DRIVEBUS	-3.558885
1	DROPPREM	0.000000
1	DROPBUS	0.802040
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-0.202858
2	WALKBIKE	-0.119535
2	SOV	0.000000
2	HOV	-1.946826
2	POOL2	0.000000
2	POOL3	-1.945444
2	WALKTRAN	0.000000
2	DRIVETRAN	0.129640
2	DROPTRAN	-2.476110
2	WALKPREM	0.000000
2	WALKBUS	4.557975
2	DRIVEPREM	0.000000
2	DRIVEBUS	3.070645
2	DROPPREM	0.000000
2	DROPBUS	2.352186
2	WALK	0.000000
2	BIKE	-3.984731
1	AUTO	0.000000
1	TRANSIT	0.013479
1	WALKBIKE	2.697233
1	SOV	0.000000
1	HOV	-1.850047
1	POOL2	0.000000
1	POOL3	-1.943753
1	WALKTRAN	0.000000
1	DRIVETRAN	0.985045
1	DROPTRAN	-2.937279
1	WALKPREM	0.000000
1	WALKBUS	2.296998
1	DRIVEPREM	0.000000
1	DRIVEBUS	-3.764638
1	DROPPREM	0.000000
1	DROPBUS	0.597363
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-0.192465
2	WALKBIKE	-0.153055
2	SOV	0.000000
2	HOV	-1.946833
2	POOL2	0.000000
2	POOL3	-1.939614
2	WALKTRAN	0.000000
2	DRIVETRAN	0.143251
2	DROPTRAN	-2.187915
2	WALKPREM	0.000000
2	WALKBUS	4.375084
2	DRIVEPREM	0.000000
2	DRIVEBUS	2.952682
2	DROPPREM	0.000000
2	DROPBUS	1.582922
2	WALK	0.000000
2	BIKE	-3.977936
