MODE	SEGMENT	INCOME1	INCOME2	INCOME3	INCOME4
AUTO	1	0	0	0	0
TRANSIT	1	0	0	0	0
WALKBIKE	1	0	0	0	0
SOV	1	0	0	0	0
HOV	1	0	0	0	0
POOL2	1	0	0	0	0
POOL3	1	0	0	0	0
WALKTRAN	1	0	0	0	0
DRIVETRAN	1	0	0	0	0
DROPTRAN	1	0	0	0	0
WALKPREM	1	0	0	0	0
WALKBUS	1	0	0	0	0
DRIVEPREM	1	0	0	0	0
DRIVEBUS	1	0	0	0	0
DROPPREM	1	0	0	0	0
DROPBUS	1	0	0	0	0
WALK	1	0	0	0	0
BIKE	1	0	0	0	0
AUTO	2	0	0	0	0
TRANSIT	2	0	0	0	0
WALKBIKE	2	0	0	0	0
SOV	2	0	0	0	0
HOV	2	0	0	0	0
POOL2	2	0	0	0	0
POOL3	2	0	0	0	0
WALKTRAN	2	0	0	0	0
DRIVETRAN	2	0	0	0	0
DROPTRAN	2	0	0	0	0
WALKPREM	2	0	0	0	0
WALKBUS	2	0	0	0	0
DRIVEPREM	2	0	0	0	0
DRIVEBUS	2	0	0	0	0
DROPPREM	2	0	0	0	0
DROPBUS	2	0	0	0	0
WALK	2	0	0	0	0
BIKE	2	0	0	0	0
