SEGMENT	MODE	INCOME1	INCOME2	INCOME3	INCOME4
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.413116	0.796233	-0.861795	-2.358162
1	WALKBIKE	-0.303916	-0.131341	0.008600	-1.219274
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.630436	-1.848003	-1.793410	-3.455203
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.443156	-1.133947	-2.569406	-0.679803
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.614711	-2.976051	-0.792080	1.081649
1	DROPTRAN	-5.012977	-3.653661	-4.543210	-4.877345
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.520841	0.863853	-0.099977	-0.745199
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-0.607534	0.499598	-4.897164	-3.809895
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-3.109548	-3.129382	-0.986389	-0.189913
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.732889	-2.110173	-4.007321	-2.051948
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	6.000000	4.022587	0.941660	-1.644730
2	WALKBIKE	0.998504	2.000427	0.187917	2.374235
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.356918	-2.209131	-1.926015	-3.562465
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.109354	-1.472660	-2.680894	-0.768496
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	0.126204	-1.005871	1.606563
2	DROPTRAN	-6.000000	-4.744814	-5.994455	-3.297501
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-3.648015	1.295491	-2.728871	1.560324
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-2.475882	-6.000000	-6.000000	1.613235
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-2.568019	-2.309226	3.231491
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-0.311242	-1.313141	-3.671265	-5.947570
1	AUTO	0.000000	0.000000	0.000000	0.000000
1	TRANSIT	1.508159	0.877539	-0.790190	-2.303643
1	WALKBIKE	-0.308489	-0.135274	0.007676	-1.219587
1	SOV	0.000000	0.000000	0.000000	0.000000
1	HOV	-1.630013	-1.847869	-1.793396	-3.455200
1	POOL2	0.000000	0.000000	0.000000	0.000000
1	POOL3	-1.442773	-1.133805	-2.569400	-0.679800
1	WALKTRAN	0.000000	0.000000	0.000000	0.000000
1	DRIVETRAN	-3.707889	-3.020244	-0.874414	1.031571
1	DROPTRAN	-5.067294	-3.708720	-4.550420	-4.895161
1	WALKPREM	0.000000	0.000000	0.000000	0.000000
1	WALKBUS	0.053123	0.483228	-0.464703	-1.107629
1	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
1	DRIVEBUS	-0.861164	0.158670	-5.138880	-4.098086
1	DROPPREM	0.000000	0.000000	0.000000	0.000000
1	DROPBUS	-3.535155	-3.444177	-1.340752	-0.423636
1	WALK	0.000000	0.000000	0.000000	0.000000
1	BIKE	-1.732024	-2.108753	-4.006658	-2.051787
2	AUTO	0.000000	0.000000	0.000000	0.000000
2	TRANSIT	6.000000	3.933879	1.046188	-1.646902
2	WALKBIKE	0.741661	1.846952	0.199158	2.368857
2	SOV	0.000000	0.000000	0.000000	0.000000
2	HOV	-2.322820	-2.206870	-1.926291	-3.562397
2	POOL2	0.000000	0.000000	0.000000	0.000000
2	POOL3	-2.116513	-1.470078	-2.680877	-0.768451
2	WALKTRAN	0.000000	0.000000	0.000000	0.000000
2	DRIVETRAN	-6.000000	0.179185	-1.129163	1.643583
2	DROPTRAN	-6.000000	-4.736448	-6.000000	-3.247919
2	WALKPREM	0.000000	0.000000	0.000000	0.000000
2	WALKBUS	-5.516170	0.842603	-3.338061	1.311023
2	DRIVEPREM	0.000000	0.000000	0.000000	0.000000
2	DRIVEBUS	-2.631000	-6.000000	-6.000000	1.394264
2	DROPPREM	0.000000	0.000000	0.000000	0.000000
2	DROPBUS	-6.000000	-2.497269	-2.429660	3.086141
2	WALK	0.000000	0.000000	0.000000	0.000000
2	BIKE	-0.385420	-1.317570	-3.685072	-5.943296
