SEGMENT	MODE	NHB_PEAK
1	AUTO	0.000000
1	TRANSIT	-2.979894
1	WALKBIKE	-1.090425
1	SOV	0.000000
1	HOV	-0.288165
1	POOL2	0.000000
1	POOL3	-0.437514
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.600468
1	DROPTRAN	-5.115975
1	WALKPREM	0.000000
1	WALKBUS	-1.057639
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.155531
1	DROPPREM	0.000000
1	DROPBUS	2.479426
1	WALK	0.000000
1	BIKE	-3.705194
2	AUTO	0.000000
2	TRANSIT	-3.568546
2	WALKBIKE	-0.373454
2	SOV	0.000000
2	HOV	-2.466066
2	POOL2	0.000000
2	POOL3	-2.232280
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.202019
2	DROPTRAN	-2.237817
2	WALKPREM	0.000000
2	WALKBUS	-0.758919
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.275044
1	AUTO	0.000000
1	TRANSIT	-2.958794
1	WALKBIKE	-1.090429
1	SOV	0.000000
1	HOV	-0.288164
1	POOL2	0.000000
1	POOL3	-0.437513
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.608483
1	DROPTRAN	-5.123450
1	WALKPREM	0.000000
1	WALKBUS	-1.169413
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.259165
1	DROPPREM	0.000000
1	DROPBUS	2.409563
1	WALK	0.000000
1	BIKE	-3.705181
2	AUTO	0.000000
2	TRANSIT	-3.557802
2	WALKBIKE	-0.373498
2	SOV	0.000000
2	HOV	-2.466063
2	POOL2	0.000000
2	POOL3	-2.232279
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.212305
2	DROPTRAN	-2.253486
2	WALKPREM	0.000000
2	WALKBUS	-0.838337
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.275077
