Alternative,Expression,Filter,Coefficient,Description
sov,Constant,,2.17,SOV ASC
sov,AutoSkim.[Non HOV TermTT],,-0.0134,Auto Skim with terminal time
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 1,-0.002,Parking Cost: Income 1
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 2,-0.001,Parking Cost: Income 2
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 3,-0.000542,Parking Cost: Income 3
sov,AutoSkim.[Non HOV Park Cost]/2,Tours.INCOME = 4,-0.000426,Parking Cost: Income 4
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 1,-0.02,Auto Operating Cost: Income 1
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 2,-0.01,Auto Operating Cost: Income 2
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 3,-0.00542,Auto Operating Cost: Income 3
sov,nz(AutoSkim.[Non HOV Length]),Tours.INCOME = 4,-0.00426,Auto Operating Cost: Income 4
pool2,Constant,,1.64,Pool2 ASC
pool2,AutoSkim.[HOV TermTT],,-0.0134,Auto Skim with terminal time
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 1,-0.002,Parking Cost: Income 1
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 2,-0.001,Parking Cost: Income 2
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 3,-0.000542,Parking Cost: Income 3
pool2,AutoSkim.[HOV Park Cost]/4,Tours.INCOME = 4,-0.000426,Parking Cost: Income 4
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 1,-0.02,Auto Operating Cost: Income 1
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 2,-0.01,Auto Operating Cost: Income 2
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 3,-0.00542,Auto Operating Cost: Income 3
pool2,nz(AutoSkim.[HOV Length])/2,Tours.INCOME = 4,-0.00426,Auto Operating Cost: Income 4
pool3,Constant,,1.35,Pool3 ASC
pool3,AutoSkim.[HOV TermTT],,-0.0134,Auto Skim with terminal time
pool3,AutoSkim.[HOV Park Cost]/(2*<occ3>),Tours.INCOME = 1,-0.002,Parking Cost: Income 1
